날짜,year,month,day,종가,대비,등락률,거래량,거래대금,시가총액,외국인 보유수량,외국인 지분율,토론방,순매수_기관,순매수_기타법인,순매수_개인,순매수_외국인,검색어,보도량,기사감성점수,뉴스심리지수,비트코인종가,비트코인거래량,비트코인변동,코스피종가,코스피대비,코스피등락률,코스피거래량,코스피거래대금,코스피시가총액,한은금리,원/미국달러,원/위안,원/일본엔(100엔),원/유로,경제심리지수(원계열),경제심리지수(순환변동치),산업생산지수,물가상승률,소비자신뢰지수,소비자심리지수,경제활동참가율(%),실업률(%),고용률(%),year-month,5일 등락률,day5_label
2017-06-15,2017,6,15,50100.0,-600.0,-1.18,861504.0,43171737332.0,23757399308700.0,329144439.0,69.41,4.0,-1157351100.0,-135378500.0,1919980800.0,-627251200.0,24.17292,20.0,0.15,112.34,2442.5,262790.0,-1.01,2361.65,-10.99,-0.46,334886.0,5882836.0,1530333177.0,1.25,1125.6,165.87,1029.73,1262.25,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,1.42,maintain
2017-06-16,2017,6,16,50600.0,500.0,1.0,750027.0,37741464700.0,23994499102200.0,329126090.0,69.41,4.0,8486123400.0,-543532300.0,-7252674950.0,-689916150.0,21.66271,18.0,0.0,113.08,2508.6,117210.0,2.71,2361.83,0.18,0.01,329179.0,5965450.0,1530672371.0,1.25,1122.8,165.63,1012.72,1251.75,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,1.4,maintain
2017-06-19,2017,6,19,50200.0,-400.0,-0.79,534377.0,26864066824.0,23804819267400.0,329112398.0,69.4,4.0,3620934800.0,-15441600.0,352076100.0,-3957569300.0,26.60542,17.0,0.1764705882352941,109.23,2616.8,81830.0,3.04,2370.9,9.07,0.38,290945.0,5421942.0,1536693704.0,1.25,1133.0,166.06,1021.96,1269.24,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,-0.2,maintain
2017-06-20,2017,6,20,49600.0,-600.0,-1.2,750963.0,37206476150.0,23520299515200.0,328995796.0,69.38,6.0,-3723991100.0,45152200.0,7991525550.0,-4312686650.0,25.7145,20.0,0.3,108.78,2754.4,111300.0,5.26,2369.23,-1.67,-0.07,360734.0,7143556.0,1536241745.0,1.25,1131.4,166.01,1013.35,1261.34,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,-1.0,maintain
2017-06-21,2017,6,21,48450.0,-1150.0,-2.32,1358325.0,65869786700.0,22974969990150.0,328908691.0,69.36,2.0,-9242260350.0,4611616300.0,14900631300.0,-10269987250.0,24.37307,17.0,0.1764705882352941,107.24,2677.6,116030.0,-2.79,2357.53,-11.7,-0.49,360345.0,6466060.0,1528474847.0,1.25,1137.0,166.42,1021.24,1266.11,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,-4.44,maintain
2017-06-22,2017,6,22,48750.0,300.0,0.62,1272150.0,61820092850.0,23117229866250.0,328697011.0,69.32,2.0,-1972954500.0,324041400.0,975402700.0,673510400.0,23.51029,35.0,0.3142857142857143,104.95,2722.8,78300.0,1.69,2370.37,12.84,0.54,299232.0,6829007.0,1536651532.0,1.25,1142.2,167.25,1026.1,1275.61,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,-2.69,maintain
2017-06-23,2017,6,23,48800.0,50.0,0.1,1012217.0,49566563750.0,23140939845600.0,328710950.0,69.32,2.0,3068393650.0,-489000.0,-1019156700.0,-2048747950.0,26.37569,21.0,0.2857142857142857,103.79,2710.4,56940.0,-0.46,2378.6,8.23,0.35,256259.0,5863390.0,1541919022.0,1.25,1140.8,167.07,1025.02,1271.76,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,-3.56,maintain
2017-06-26,2017,6,26,48550.0,-250.0,-0.51,503527.0,24415268100.0,23022389948850.0,328638705.0,69.3,3.0,-264907250.0,242750.0,3889050800.0,-3624386300.0,32.28005,15.0,0.2,107.59,2446.1,165830.0,-3.76,2388.66,10.06,0.42,325674.0,5213754.0,1548384049.0,1.25,1140.1,166.72,1025.04,1276.63,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,-3.29,maintain
2017-06-27,2017,6,27,48500.0,-50.0,-0.1,769352.0,37382774950.0,22998679969500.0,328557217.0,69.29,2.0,-15823270450.0,29100000.0,5998206200.0,9795964250.0,26.72613,28.0,0.1428571428571428,107.81,2583.8,159260.0,5.63,2391.95,3.29,0.14,358034.0,6473502.0,1550600184.0,1.25,1135.2,165.84,1014.61,1269.15,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,-2.22,maintain
2017-06-28,2017,6,28,49900.0,1400.0,2.89,1234126.0,61036870100.0,23662559391300.0,329072507.0,69.4,2.0,6261959750.0,-40624250.0,-17841697450.0,11620361950.0,23.37656,34.0,0.0294117647058823,109.74,2577.7,110420.0,-0.23,2382.56,-9.39,-0.39,361177.0,6018053.0,1543678169.0,1.25,1136.4,165.84,1012.88,1288.85,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,2.99,maintain
2017-06-29,2017,6,29,49900.0,0.0,0.0,1404702.0,70991171700.0,23662559391300.0,329260712.0,69.44,10.0,13395436000.0,-849637200.0,-5643522600.0,-6902276200.0,22.86134,28.0,0.1428571428571428,111.86,2558.4,75320.0,-0.75,2395.66,13.1,0.55,445132.0,5519871.0,1552287490.0,1.25,1141.7,167.9,1016.34,1299.03,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,2.36,maintain
2017-06-30,2017,6,30,49300.0,-600.0,-1.2,888147.0,44028398950.0,23378039639100.0,329138470.0,69.41,8.0,-8074094700.0,-497061200.0,7269218300.0,1301937600.0,26.38437,42.0,0.0714285714285714,113.28,2480.6,73000.0,-3.04,2391.79,-3.87,-0.16,343530.0,5100038.0,1549261008.0,1.25,1139.6,167.79,1017.55,1303.99,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2023-03,1.02,maintain
2017-07-03,2017,7,3,49550.0,250.0,0.51,503554.0,24930905650.0,23496589535850.0,329167368.0,69.42,1.0,-7052249500.0,3580750.0,84878400.0,6963790350.0,28.41276,29.0,0.2068965517241379,113.7,2572.5,83420.0,1.42,2394.48,2.69,0.11,310992.0,4782703.0,1551236137.0,1.25,1144.0,168.97,1018.25,1306.91,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-03,2.06,maintain
2017-07-04,2017,7,4,49900.0,350.0,0.71,696799.0,34824470256.0,23662559391300.0,329293438.0,69.44,5.0,5196347600.0,-1358736850.0,-4672257050.0,834646300.0,23.85193,22.0,0.1818181818181818,112.7,2617.3,80680.0,1.74,2380.52,-13.96,-0.58,411776.0,4899735.0,1541800096.0,1.25,1145.0,168.97,1010.06,1301.81,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-03,2.89,maintain
2017-07-05,2017,7,5,49550.0,-350.0,-0.7,837698.0,41650025546.0,23496589535850.0,329274728.0,69.44,6.0,511408100.0,-2583436700.0,-193724200.0,2265752800.0,25.01098,42.0,0.3333333333333333,111.38,2627.9,89720.0,0.4,2388.35,7.83,0.33,333721.0,4786070.0,1546865701.0,1.25,1149.3,168.91,1016.23,1304.74,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-03,-0.7,maintain
2017-07-06,2017,7,6,49200.0,-350.0,-0.71,862327.0,42440728300.0,23330619680400.0,329336653.0,69.45,8.0,-5774668650.0,74466500.0,11165671050.0,-5465468900.0,21.79145,22.0,0.0454545454545454,111.0,2614.2,60160.0,-0.52,2387.81,-0.54,-0.02,301473.0,4804356.0,1546895514.0,1.25,1149.3,169.02,1015.6,1304.57,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-03,-1.4,maintain
2017-07-07,2017,7,7,48900.0,-300.0,-0.61,611700.0,29860051400.0,23188359804300.0,329225495.0,69.43,6.0,3525397350.0,29758000.0,3810602050.0,-7365757400.0,20.40833,37.0,0.2432432432432432,110.01,2513.9,90450.0,-3.84,2379.87,-7.94,-0.33,314370.0,5489141.0,1540538453.0,1.25,1153.5,169.48,1019.26,1317.47,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-03,-0.81,maintain
2017-07-10,2017,7,10,49400.0,500.0,1.02,679344.0,33561479850.0,23425459597800.0,329060374.0,69.39,5.0,4712403950.0,-1956308950.0,-5630785350.0,2874690350.0,30.04718,36.0,0.1388888888888889,111.69,2344.0,123800.0,-6.67,2382.1,2.23,0.09,296262.0,4924609.0,1549196906.0,1.25,1155.8,169.94,1013.99,1317.79,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,-0.3,maintain
2017-07-11,2017,7,11,49950.0,550.0,1.11,898266.0,44834156300.0,23686269370650.0,329118432.0,69.41,10.0,-8774939800.0,46089850.0,-2485715200.0,11214565150.0,24.07772,23.0,0.2608695652173913,111.66,2324.3,146630.0,-0.84,2396.0,13.9,0.58,284462.0,4942134.0,1558253116.0,1.25,1149.9,169.09,1008.15,1310.54,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,0.1,maintain
2017-07-12,2017,7,12,49600.0,-350.0,-0.7,676789.0,33581257734.0,23520299515200.0,329318221.0,69.45,4.0,-10932383100.0,83390700.0,2374194100.0,8474798300.0,22.08601,26.0,0.1153846153846153,111.91,2403.1,109520.0,3.39,2391.77,-4.23,-0.18,268926.0,5352347.0,1555980342.0,1.25,1150.1,168.88,1010.14,1319.11,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,0.1,maintain
2017-07-13,2017,7,13,49050.0,-550.0,-1.11,1286094.0,63461894560.0,23259489742350.0,329251760.0,69.43,2.0,-6318616650.0,-347152050.0,3119743950.0,3546024750.0,21.75174,18.0,0.1111111111111111,111.09,2362.4,88170.0,-1.69,2409.49,17.72,0.74,289261.0,6169865.0,1568027438.0,1.25,1145.6,168.72,1011.17,1307.65,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,-0.3,maintain
2017-07-14,2017,7,14,49100.0,50.0,0.1,715387.0,35179862950.0,23283199721700.0,329322557.0,69.45,8.0,454573500.0,29480000.0,2028795650.0,-2512849150.0,21.52227,10.0,0.2,111.6,2234.2,114410.0,-5.43,2414.63,5.14,0.21,258766.0,5288841.0,1571230354.0,1.25,1137.5,167.75,1003.22,1296.35,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,0.41,maintain
2017-07-17,2017,7,17,49300.0,200.0,0.41,1129613.0,55606214000.0,23378039639100.0,329230569.0,69.43,3.0,4359540450.0,-984000.0,3536729250.0,-7895285700.0,28.29191,24.0,0.2916666666666667,105.92,2233.4,176890.0,16.68,2425.1,10.47,0.43,254205.0,4928676.0,1578499325.0,1.25,1136.0,167.59,1009.91,1303.22,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,-0.2,maintain
2017-07-18,2017,7,18,50100.0,800.0,1.62,1171797.0,58532746778.0,23757399308700.0,329055035.0,69.39,7.0,13487538550.0,95400650.0,-14426158700.0,843219500.0,24.04642,14.0,0.1428571428571428,106.27,2320.2,202620.0,3.89,2426.04,0.94,0.04,260662.0,4801381.0,1578631568.0,1.25,1128.2,166.76,1001.64,1294.95,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,0.3,maintain
2017-07-19,2017,7,19,50800.0,700.0,1.4,1190929.0,60364985500.0,24089339019600.0,329091563.0,69.4,5.0,10645912700.0,309309800.0,-21499461100.0,10544238600.0,22.2496,17.0,0.1176470588235294,104.57,2282.6,154320.0,-1.62,2429.94,3.9,0.16,270965.0,5100349.0,1581150486.0,1.25,1126.3,166.68,1005.09,1300.82,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,2.42,maintain
2017-07-20,2017,7,20,50600.0,-200.0,-0.39,614994.0,31189409420.0,23994499102200.0,329314267.0,69.45,12.0,-417060100.0,-218404300.0,-1549770800.0,2185235200.0,24.19133,26.0,0.5384615384615384,105.47,2866.0,310340.0,25.56,2441.84,11.9,0.49,251917.0,5452699.0,1589860931.0,1.25,1121.8,166.25,1003.04,1293.38,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,3.16,maintain
2017-07-21,2017,7,21,52300.0,1700.0,3.36,2426599.0,126409123900.0,24800638400100.0,329175714.0,69.42,6.0,8652776800.0,-3071429700.0,-26313145900.0,20731798800.0,23.70938,25.0,0.44,106.42,2675.1,193760.0,-6.66,2450.06,8.22,0.34,250132.0,5207298.0,1592877224.0,1.25,1124.9,166.35,1005.32,1308.09,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,6.52,buy
2017-07-24,2017,7,24,52600.0,300.0,0.57,1011486.0,53301547600.0,24942898276200.0,329604651.0,69.51,3.0,82531900.0,5904400.0,-7016697800.0,6928261500.0,29.13825,29.0,0.1379310344827586,113.47,2763.4,83010.0,0.25,2451.53,1.47,0.06,233408.0,4637011.0,1593346329.0,1.25,1121.2,165.92,1008.95,1308.94,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,6.69,buy
2017-07-25,2017,7,25,52400.0,-200.0,-0.38,865827.0,45519668360.0,24848058358800.0,329614521.0,69.51,3.0,8146172300.0,-898535200.0,-8090393200.0,842756100.0,32.73544,16.0,0.1875,114.33,2582.6,205880.0,-6.54,2439.9,-11.63,-0.47,275200.0,5406743.0,1585492893.0,1.25,1116.1,165.29,1004.0,1299.08,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,4.59,maintain
2017-07-26,2017,7,26,53000.0,600.0,1.15,1089980.0,57677540700.0,25132578111000.0,329630779.0,69.51,4.0,14996419000.0,-152272200.0,-8748710900.0,-6095435900.0,26.34413,24.0,0.2083333333333333,117.41,2559.2,135500.0,-0.9,2434.51,-5.39,-0.22,336109.0,6474045.0,1581850204.0,1.25,1116.1,165.44,997.54,1299.87,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,4.33,maintain
2017-07-27,2017,7,27,52800.0,-200.0,-0.38,1015772.0,53582757500.0,25037738193600.0,329550274.0,69.5,5.0,1752530400.0,-617042700.0,-2603380100.0,1467892400.0,23.83628,35.0,0.3142857142857143,116.48,2691.9,103830.0,5.18,2443.24,8.73,0.36,426498.0,5397119.0,1587487990.0,1.25,1120.3,165.73,1007.83,1313.94,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,4.35,maintain
2017-07-28,2017,7,28,52800.0,0.0,0.0,1008603.0,53227784300.0,25037738193600.0,329581022.0,69.5,2.0,13966271600.0,-2938767400.0,-6858186800.0,-4169317400.0,22.28957,23.0,0.6086956521739131,115.8,2806.8,138910.0,4.27,2400.99,-42.25,-1.73,318652.0,7019672.0,1559499858.0,1.25,1112.5,165.28,1000.54,1299.68,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,0.96,maintain
2017-07-31,2017,7,31,53200.0,400.0,0.76,909180.0,47971169828.0,25227418028400.0,329501885.0,69.49,0.0,12413427500.0,-2363592600.0,-6868341300.0,-3181493600.0,30.09254,29.0,0.0689655172413793,110.42,2883.3,91120.0,4.22,2402.71,1.72,0.07,277570.0,5646475.0,1560654852.0,1.25,1119.1,165.85,1012.26,1315.67,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2023-02,1.14,maintain
2017-08-01,2017,8,1,54200.0,1000.0,1.88,1021165.0,54916453200.0,25701617615400.0,329440739.0,69.47,3.0,8327313400.0,-1352474700.0,-12609228100.0,5634389400.0,24.76915,33.0,0.2121212121212121,110.25,2747.0,123170.0,-4.73,2422.96,20.25,0.84,264036.0,5605202.0,1573327445.0,1.25,1121.9,166.67,1016.81,1326.7,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-02,3.44,maintain
2017-08-02,2017,8,2,53400.0,-800.0,-1.48,733850.0,39212974800.0,25322257945800.0,329564065.0,69.5,1.0,-8569659400.0,-2129900.0,1797513900.0,6774275400.0,21.45113,21.0,0.4761904761904761,110.24,2720.5,81820.0,-0.96,2427.63,4.67,0.19,261570.0,5346439.0,1574478572.0,1.25,1118.0,166.26,1013.19,1320.19,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-02,0.75,maintain
2017-08-03,2017,8,3,53200.0,-200.0,-0.37,919793.0,48735539900.0,25227418028400.0,329689908.0,69.53,3.0,5903581100.0,-121730000.0,-7443040900.0,1661189800.0,20.61045,12.0,0.0,110.43,2810.0,68100.0,3.29,2386.85,-40.78,-1.68,303575.0,6500832.0,1547313042.0,1.25,1123.2,166.94,1013.95,1331.39,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-02,0.76,maintain
2017-08-04,2017,8,4,54400.0,1200.0,2.26,1185506.0,64027757010.0,25796457532800.0,329731763.0,69.53,1.0,10951403400.0,-346260400.0,-10083532700.0,-521610300.0,19.71427,20.0,0.25,105.76,2878.5,68760.0,2.44,2395.45,8.6,0.36,273566.0,5084022.0,1552978143.0,1.25,1127.6,167.47,1025.65,1339.42,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-02,3.03,maintain
2017-08-07,2017,8,7,55200.0,800.0,1.47,1092158.0,59697984200.0,26175817202400.0,329722765.0,69.53,1.0,-1087628900.0,-1827163400.0,-8679000900.0,11593793200.0,26.59003,26.0,0.1153846153846153,105.11,3401.9,88110.0,5.26,2398.75,3.3,0.14,244124.0,4428447.0,1555176613.0,1.25,1125.4,167.37,1015.93,1326.73,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,3.76,maintain
2017-08-08,2017,8,8,54800.0,-400.0,-0.72,832898.0,45698643000.0,25986137367600.0,329984332.0,69.59,3.0,-9750856700.0,-70316300.0,-4170935500.0,13992108500.0,22.35059,17.0,0.0588235294117647,104.8,3429.4,106940.0,0.81,2394.73,-4.02,-0.17,252854.0,4623604.0,1553061230.0,1.25,1127.3,167.49,1017.88,1329.65,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,1.11,maintain
2017-08-09,2017,8,9,55300.0,500.0,0.91,1283753.0,70436139899.0,26223237161100.0,330239424.0,69.64,3.0,-7119287500.0,-1311641800.0,-7384855300.0,15815784600.0,21.09016,28.0,0.1428571428571428,100.58,3348.8,97060.0,-2.35,2368.39,-26.34,-1.1,234073.0,4693572.0,1535593315.0,1.25,1125.4,167.61,1021.79,1323.7,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,3.56,maintain
2017-08-10,2017,8,10,55400.0,100.0,0.18,1350593.0,74250478200.0,26270657119800.0,330514816.0,69.7,7.0,8110715600.0,-632513900.0,-2856938500.0,-4621263200.0,25.32986,23.0,0.1304347826086956,99.45,3425.7,71000.0,2.3,2359.47,-8.92,-0.38,283873.0,6293549.0,1529764543.0,1.25,1134.7,169.27,1031.78,1334.41,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,4.14,maintain
2017-08-11,2017,8,11,53100.0,-2300.0,-4.15,1227727.0,65393090149.0,25179998069700.0,330404662.0,69.68,11.0,9072278400.0,1319754400.0,5369717500.0,-15761750300.0,21.74674,11.0,0.0909090909090909,101.85,3654.4,97560.0,6.68,2319.71,-39.76,-1.69,318581.0,6322990.0,1503626801.0,1.25,1141.1,170.69,1045.2,1342.5,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,-2.39,maintain
2017-08-14,2017,8,14,53500.0,400.0,0.75,705422.0,37699162400.0,25369677904500.0,330108617.0,69.61,4.0,6752007300.0,1441770900.0,-1788032000.0,-6405746200.0,25.06187,12.0,0.3333333333333333,95.47,4327.9,128460.0,6.53,2334.22,14.51,0.63,214025.0,4657451.0,1515575561.0,1.25,1146.3,171.57,1049.92,1355.1,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,-3.08,maintain
2017-08-16,2017,8,16,53100.0,-400.0,-0.75,1156040.0,61741701800.0,25179998069700.0,329981034.0,69.59,4.0,-2961642000.0,647273000.0,6348809000.0,-4034440000.0,26.66328,31.0,0.1935483870967742,92.02,4387.4,112900.0,5.42,2348.26,14.04,0.6,270521.0,6169012.0,1525670168.0,1.25,1138.2,170.42,1029.16,1336.25,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,-3.1,maintain
2017-08-17,2017,8,17,52600.0,-500.0,-0.94,767234.0,40366591700.0,24942898276200.0,329904775.0,69.57,2.0,-12053300900.0,2615100.0,-510467600.0,12561153400.0,23.71083,24.0,0.125,91.63,4278.9,127480.0,-2.47,2361.67,13.41,0.57,255766.0,4696031.0,1534652870.0,1.25,1139.6,170.14,1035.2,1341.88,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,-4.88,maintain
2017-08-18,2017,8,18,51900.0,-700.0,-1.33,757244.0,39440238300.0,24610958565300.0,330143636.0,69.62,3.0,-3544085800.0,-2375428400.0,2378202400.0,3541311800.0,22.53377,19.0,0.0,90.79,4105.4,144400.0,-4.06,2358.37,-3.3,-0.14,201479.0,4395554.0,1532778210.0,1.25,1135.9,170.01,1037.21,1332.3,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,-6.32,sell
2017-08-21,2017,8,21,51600.0,-300.0,-0.58,404319.0,20879648800.0,24468698689200.0,330211680.0,69.64,3.0,-2975297300.0,-78219800.0,3472292800.0,-418775700.0,29.34339,25.0,0.12,91.93,4005.1,90650.0,-1.51,2355.0,-3.37,-0.14,207225.0,3860617.0,1530386008.0,1.25,1142.0,170.82,1043.92,1342.02,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,-2.82,maintain
2017-08-22,2017,8,22,52100.0,500.0,0.97,393748.0,20551577900.0,24705798482700.0,330203580.0,69.63,1.0,3982071900.0,-1032905900.0,-1562253400.0,-1386912600.0,24.36505,24.0,0.3333333333333333,88.36,4089.7,169140.0,2.11,2365.33,10.33,0.44,251864.0,4036931.0,1536995836.0,1.25,1138.3,170.44,1044.12,1344.28,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,-2.62,maintain
2017-08-23,2017,8,23,52200.0,100.0,0.19,422460.0,22069353600.0,24753218441400.0,330164989.0,69.63,0.0,-4590142700.0,-1643200000.0,841542100.0,5391800600.0,22.66093,19.0,0.2105263157894736,92.23,4141.1,96650.0,1.26,2366.4,1.07,0.05,228616.0,4072478.0,1538226997.0,1.25,1135.6,170.45,1035.14,1336.15,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,-1.69,maintain
2017-08-24,2017,8,24,52200.0,0.0,0.0,623439.0,32587727676.0,24753218441400.0,330156630.0,69.62,0.0,3425624400.0,-1431214600.0,-422671000.0,-1571738800.0,22.64818,21.0,0.4285714285714285,92.38,4318.4,72360.0,4.28,2375.84,9.44,0.4,295531.0,4743851.0,1543913764.0,1.25,1130.9,169.63,1038.57,1336.21,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,-0.76,maintain
2017-08-25,2017,8,25,53300.0,1100.0,2.11,565012.0,29912568350.0,25274837987100.0,330126536.0,69.62,3.0,5569343800.0,-1752977700.0,-5196059200.0,1379693100.0,28.35937,13.0,0.3846153846153846,92.65,4364.4,82900.0,1.07,2378.51,2.67,0.11,341961.0,4664555.0,1544754034.0,1.25,1127.3,169.33,1028.98,1330.33,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,2.7,maintain
2017-08-28,2017,8,28,53400.0,100.0,0.19,455689.0,24106137400.0,25322257945800.0,330154122.0,69.62,1.0,3892489000.0,-285769100.0,-926129900.0,-2680590000.0,28.68904,40.0,0.2,93.35,4390.3,75490.0,1.03,2370.3,-8.21,-0.35,226869.0,4035801.0,1538875605.0,1.25,1129.2,169.55,1033.26,1349.56,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,3.49,maintain
2017-08-29,2017,8,29,52600.0,-800.0,-1.5,646259.0,33729220080.0,24942898276200.0,330103122.0,69.61,0.0,-7695955200.0,-25936500.0,6619062800.0,1102828900.0,23.75896,31.0,0.0,95.26,4597.3,100800.0,4.71,2364.74,-5.56,-0.23,223090.0,4427622.0,1535858093.0,1.25,1120.4,168.82,1031.15,1340.22,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,0.96,maintain
2017-08-30,2017,8,30,52600.0,0.0,0.0,585404.0,30803862382.0,24942898276200.0,330126868.0,69.62,1.0,2934633900.0,-421510000.0,-890139500.0,-1622984400.0,22.25907,40.0,0.05,94.68,4583.0,68470.0,-0.31,2372.29,7.55,0.32,305637.0,4652673.0,1540964342.0,1.25,1126.2,170.26,1027.23,1348.51,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,0.77,maintain
2017-08-31,2017,8,31,52000.0,-600.0,-1.14,904339.0,47016195800.0,24658378524000.0,330095806.0,69.61,1.0,-5680560400.0,-4690500.0,2581321600.0,3103929300.0,26.4822,29.0,0.3448275862068966,95.22,4735.1,72290.0,3.32,2363.19,-9.1,-0.38,265050.0,5351568.0,1535629495.0,1.25,1122.8,170.23,1017.44,1335.63,100.1,100.4,104.2,98.058,110.0,109.6,63.5,3.6,61.2,2023-01,-0.38,maintain
2017-09-01,2017,9,1,51500.0,-500.0,-0.96,555685.0,28661086600.0,24421278730500.0,330162732.0,69.63,2.0,-6750976600.0,3515999300.0,2694743300.0,540234000.0,23.00678,29.0,0.2758620689655172,94.84,4921.9,102010.0,3.94,2357.69,-5.5,-0.23,280060.0,4811929.0,1532592218.0,1.25,1125.8,170.51,1022.94,1341.11,98.9,100.7,105.3,98.172,108.0,107.4,63.5,3.3,61.4,2023-01,-3.38,maintain
2017-09-04,2017,9,4,50800.0,-700.0,-1.36,573135.0,29269625400.0,24089339019600.0,330187012.0,69.63,1.0,5952370000.0,117339500.0,-1860626200.0,-4209083300.0,25.64744,23.0,0.3478260869565217,97.02,4267.5,170400.0,-7.49,2329.65,-28.04,-1.19,248495.0,4422729.0,1514396696.0,1.25,1122.7,170.5,1022.45,1334.16,98.9,100.7,105.3,98.172,108.0,107.4,63.5,3.3,61.4,2023-01,-4.87,maintain
2017-09-05,2017,9,5,48950.0,-1850.0,-3.64,1413409.0,69737188950.0,23212069783650.0,330093924.0,69.61,7.0,-7343320150.0,1720225950.0,9618715650.0,-3995621450.0,24.92379,30.0,0.0666666666666666,95.44,4409.1,158410.0,3.32,2326.62,-3.03,-0.13,320428.0,4951325.0,1512278525.0,1.25,1131.5,172.63,1031.5,1346.15,98.9,100.7,105.3,98.172,108.0,107.4,63.5,3.3,61.4,2022-12,-6.94,sell
2017-09-06,2017,9,6,48000.0,-950.0,-1.94,1739134.0,83584126150.0,22761580176000.0,330017802.0,69.59,7.0,7839334300.0,-295216450.0,10687458700.0,-18231576550.0,22.00974,13.0,0.3846153846153846,95.14,4618.7,110930.0,4.75,2319.82,-6.8,-0.29,252682.0,5336840.0,1508357064.0,1.25,1131.3,172.98,1041.76,1348.62,98.9,100.7,105.3,98.172,108.0,107.4,63.5,3.3,61.4,2022-12,-8.75,sell
